



















20	198	484
20	199	516




















40	197	243
40	198	486
40	199	271




















60	196	114
60	197	387
60	198	371
60	199	128




















80	195	60
80	196	238
80	197	381
80	198	253
80	199	68




















100	194	35
100	195	161
100	196	300
100	197	320
100	198	141
100	199	43




















120	193	13
120	194	101
120	195	222
120	196	323
120	197	227
120	198	96
120	199	18




















140	192	4
140	193	65
140	194	145
140	195	287
140	196	266
140	197	167
140	198	56
140	199	10




















160	192	29
160	193	124
160	194	201
160	195	293
160	196	202
160	197	116
160	198	31
160	199	4




















180	191	11
180	192	77
180	193	162
180	194	246
180	195	268
180	196	138
180	197	79
180	198	17
180	199	2




















200	191	41
200	192	129
200	193	189
200	194	262
200	195	233
200	196	80
200	197	60
200	198	6




















220	190	18
220	191	80
220	192	164
220	193	234
220	194	229
220	195	166
220	196	67
220	197	41
220	198	1




















240	189	6
240	190	47
240	191	127
240	192	194
240	193	231
240	194	202
240	195	112
240	196	80
240	198	1




















260	188	2
260	189	28
260	190	92
260	191	166
260	192	201
260	193	230
260	194	143
260	195	132
260	196	5
260	198	1




















280	187	2
280	188	14
280	189	70
280	190	118
280	191	185
280	192	224
280	193	174
280	194	189
280	195	22
280	196	1
280	198	1




















300	186	1
300	187	7
300	188	38
300	189	102
300	190	140
300	191	207
300	192	212
300	193	242
300	194	37
300	195	13
300	197	1




















320	185	1
320	187	24
320	188	71
320	189	126
320	190	164
320	191	217
320	192	286
320	193	79
320	194	25
320	195	6
320	197	1




















340	185	1
340	186	11
340	187	48
340	188	96
340	189	147
340	190	179
340	191	347
340	192	95
340	193	60
340	194	11
340	195	4
340	196	1




















360	185	4
360	186	30
360	187	73
360	188	119
360	189	168
360	190	364
360	191	123
360	192	73
360	193	35
360	194	6
360	195	5




















380	185	19
380	186	59
380	187	86
380	188	141
380	189	351
380	190	169
380	191	92
380	192	57
380	193	18
380	194	8




















