













14	99	1

15	79	1
15	89	1
15	98	1
15	99	2

16	69	2
16	97	3
16	98	1

17	69	1
17	87	2

18	58	1
18	59	1
18	77	2
18	87	2
18	99	1

19	38	1
19	48	1
19	66	2
19	76	2
19	98	2
19	99	2

20	37	1
20	65	2
20	88	1
20	89	1

21	37	2
21	54	1
21	55	1
21	64	1
21	65	1
21	77	1
21	78	2
21	79	1
21	95	1
21	96	3

22	26	1
22	27	1
22	52	1
22	53	1
22	62	1
22	63	1
22	67	3
22	77	1
22	94	2
22	95	2

23	25	1
23	52	2
23	66	1
23	67	1
23	94	2

24	14	1
24	24	1
24	50	2
24	51	2
24	66	4
24	91	3
24	92	3
24	93	4

25	3	1
25	4	1
25	40	2
25	48	1
25	49	1
25	64	1
25	65	3
25	81	2
25	82	1
25	89	2
25	90	2
25	92	3

26	2	1
26	39	1
26	48	1
26	64	2
26	80	1
26	81	1
26	82	1
26	88	1
26	89	1

27	0	1
27	1	1
27	29	1
27	39	1
27	47	1
27	48	1
27	54	1
27	62	1
27	63	1
27	64	2
27	69	1
27	72	1
27	78	2
27	79	3
27	80	1
27	81	1

28	0	1
28	19	2
28	43	2
28	44	1
28	45	1
28	46	1
28	52	2
28	53	1
28	58	1
28	68	3
28	78	2
28	79	1
28	80	1

29	19	1
29	42	3
29	45	1
29	57	1
29	58	2
29	78	1

30	19	2
30	25	1
30	35	1
30	38	1
30	41	5
30	42	1
30	48	3
30	56	1
30	57	1
30	76	1
30	77	1

31	8	1
31	9	1
31	15	2
31	38	4
31	40	2
31	41	4
31	55	2
31	65	1
31	66	1

32	1	1
32	15	1
32	37	2
32	40	3
32	54	1
32	64	1

33	14	2
33	17	1
33	20	2
33	27	1
33	30	4
33	35	1
33	36	1
33	53	3
33	63	1

34	9	2
34	10	1
34	12	1
34	13	1
34	15	1
34	16	1
34	19	1
34	24	1
34	25	1
34	29	1
34	30	1
34	42	1
34	43	3

35	9	2
35	11	1
35	14	1
35	15	1
35	19	1
35	41	1
35	43	1

36	7	1
36	8	4
36	9	1
36	10	1
36	13	3
36	14	1
36	18	1
36	33	2
36	40	1
36	41	1

37	2	1
37	7	4
37	8	2
37	9	1
37	12	2
37	13	2
37	33	2
37	39	2

38	2	4
38	8	1
38	33	1
38	38	1

39	7	4
39	23	2
39	37	1
39	38	1

40	2	1
40	13	2
40	27	2

41	13	1
41	27	1

42	7	1
42	11	1
42	12	1
42	17	1

43	0	1
43	1	1
43	2	1

44	0	1

45	0	1























































